,base_market,quote_market,hedge_ratio,half_life
0,SOL-USD,BCH-USD,0.3897416503184752,22.0
1,SOL-USD,YFI-USD,0.012484927693549107,20.0
2,SOL-USD,ALGO-USD,512.4271704693297,14.0
3,SOL-USD,ENJ-USD,313.7501226941022,16.0
4,SOL-USD,ZRX-USD,292.70324907029385,17.0
5,SOL-USD,ATOM-USD,9.624347973727449,15.0
6,ZEC-USD,XMR-USD,0.1479892421057209,19.0
7,AAVE-USD,BCH-USD,0.4095510306077432,14.0
8,AAVE-USD,YFI-USD,0.013114713311788031,13.0
9,AAVE-USD,ADA-USD,190.67519988291417,8.0
10,AAVE-USD,ENJ-USD,329.5738333436698,9.0
11,AAVE-USD,ZRX-USD,307.51401118302084,7.0
12,AAVE-USD,SNX-USD,28.659001831678957,11.0
13,BCH-USD,YFI-USD,0.03200161031702928,13.0
14,BCH-USD,MATIC-USD,295.13184207637374,15.0
15,BCH-USD,DOT-USD,33.44974657341941,12.0
16,BCH-USD,ADA-USD,465.15927973768703,12.0
17,BCH-USD,SNX-USD,69.91400956219852,14.0
18,XMR-USD,TRX-USD,1434.9146574671213,18.0
19,XMR-USD,UNI-USD,23.889640698956658,17.0
20,YFI-USD,MATIC-USD,9219.263961187984,21.0
21,YFI-USD,DOT-USD,1044.8696765241916,21.0
22,YFI-USD,ZRX-USD,23440.6279918089,8.0
23,YFI-USD,SNX-USD,2184.0649312370106,16.0
24,DOGE-USD,SUSHI-USD,0.07379108190954495,10.0
25,MKR-USD,ETH-USD,0.7972464187103985,7.0
26,MKR-USD,LTC-USD,28.255133336188297,14.0
27,COMP-USD,TRX-USD,504.36277989439634,17.0
28,FIL-USD,MATIC-USD,6.96597366552796,13.0
29,FIL-USD,CRV-USD,10.71786097064013,11.0
30,FIL-USD,NEAR-USD,1.7520157715795075,12.0
31,FIL-USD,DOT-USD,0.7894697692072907,15.0
32,FIL-USD,1INCH-USD,12.877901040477646,7.0
33,FIL-USD,ENJ-USD,18.981610998668916,6.0
34,FIL-USD,AVAX-USD,0.16420592385867389,13.0
35,FIL-USD,SNX-USD,1.649759402574314,18.0
36,FIL-USD,XLM-USD,49.38546267904751,14.0
37,FIL-USD,ATOM-USD,0.5820342764659419,13.0
38,MATIC-USD,DOT-USD,0.11332049215650655,8.0
39,MATIC-USD,ADA-USD,1.5757809211394904,12.0
40,MATIC-USD,ENJ-USD,2.7237564103280754,10.0
41,MATIC-USD,SNX-USD,0.23684650005634905,12.0
42,CRV-USD,1INCH-USD,1.2009463118084014,17.0
43,CRV-USD,ADA-USD,1.0243092693287423,11.0
44,CRV-USD,ENJ-USD,1.7707338462434712,5.0
45,CRV-USD,ATOM-USD,0.05430420536096879,10.0
46,NEAR-USD,1INCH-USD,7.343051866440957,11.0
47,NEAR-USD,XLM-USD,28.154601259181362,20.0
48,DOT-USD,AVAX-USD,0.20797215831291932,5.0
49,DOT-USD,SNX-USD,2.089598427638215,13.0
50,CELO-USD,ZRX-USD,2.2053059228713905,14.0
51,1INCH-USD,ADA-USD,0.8518620672755043,13.0
52,1INCH-USD,ENJ-USD,1.4726902201017602,10.0
53,1INCH-USD,ZRX-USD,1.3740887895935385,10.0
54,1INCH-USD,SNX-USD,0.12803026615335228,16.0
55,ADA-USD,ENJ-USD,1.7284194088042435,5.0
56,ADA-USD,SNX-USD,0.1502523241138002,15.0
57,ADA-USD,ATOM-USD,0.053004850530561566,12.0
58,ENJ-USD,ZRX-USD,0.932788969571167,9.0
59,ENJ-USD,AVAX-USD,0.008650478494820035,8.0
60,ENJ-USD,SNX-USD,0.08690307621838442,18.0
61,ENJ-USD,XLM-USD,2.601614204421855,12.0
62,ENJ-USD,ATOM-USD,0.030662140077642355,9.0
63,ZRX-USD,EOS-USD,0.44200953747572036,4.0
64,ZRX-USD,ATOM-USD,0.03286364751000709,6.0
65,EOS-USD,ATOM-USD,0.07434756628152409,7.0
